"","row","date","state","fluP","temp","ah","o3","pm2.5"
"1","1",2014-10-06,"Anhui",-0.719032750921869,1.05537159213142,0.986084780012721,-0.472311159537609,-0.491244116818655
"2","2",2014-10-13,"Anhui",-0.643430491740461,0.890225007016362,0.552741047893118,-0.794603572200295,1.23073977402586
"3","3",2014-10-20,"Anhui",-0.942724711112291,0.985818538658094,1.1734097506026,-0.867041005434513,0.813950187673898
"4","4",2014-10-27,"Anhui",-1.69799928393554,0.573458390747308,0.732540588874253,-1.51109852322884,-0.194314836643307
"5","5",2014-11-03,"Anhui",-0.636533005109158,-0.0380935313594601,-0.0998513465581602,-1.42665558155309,-0.699394590056184
"6","6",2014-11-10,"Anhui",-0.527075718715954,-0.100409470696,-0.29969854672849,-1.38643000762435,0.850455014534571
"7","7",2014-11-17,"Anhui",-0.722655290342728,-0.1158312601243,-0.239524531968358,-1.19034089407703,2.61992069595727
"8","8",2014-11-24,"Anhui",-0.859346334443344,-0.161454378789153,0.133778207140001,-1.6388535203202,-0.357739100509603
"9","9",2014-12-01,"Anhui",-0.976796712509237,-1.19449044984033,-1.22007561134944,-1.60059025642721,-0.102692555524918
"10","10",2014-12-08,"Anhui",-0.456978239587321,-1.10617008067392,-1.1448442253156,-1.69057867826615,0.248302859850624
"11","11",2014-12-15,"Anhui",-0.110300604030418,-1.20497839299769,-1.42065414213789,-1.68982540025093,-0.00471080155390045
"12","12",2014-12-22,"Anhui",0.0827213518446179,-1.12505293363664,-1.18345173484488,-1.54547916992942,0.439050644251527
"13","13",2014-12-29,"Anhui",0.447483821104817,-0.924186608844458,-1.23604636728648,-1.15941973302465,-0.0651506339338327
"14","14",2015-01-05,"Anhui",0.517571186743266,-0.926953958002216,-0.93503523144058,-0.735274848555156,1.05152249886932
"15","15",2015-01-12,"Anhui",0.647212591203833,-1.00253979896542,-0.912661735067021,-0.742710355955479,0.149523566781635
"16","16",2015-01-19,"Anhui",0.603148287902001,-0.840142565861805,-0.984497665643357,-0.717882467923669,1.68730293669156
"17","17",2015-01-26,"Anhui",0.531088357902758,-1.49034077169506,-1.10206358569133,-0.544415312505178,-0.107029102048954
"18","18",2015-02-02,"Anhui",0.58806122005273,-1.25717182504376,-1.18687866157927,-0.727484643840995,0.0580984217562717
"19","19",2015-02-09,"Anhui",0.730287899165552,-0.637557083762038,-0.918260702756608,-0.527107972793388,0.599797067393624
"20","20",2015-02-16,"Anhui",0.713445042695642,-0.614017290614405,-0.587072001029087,-0.523880825402053,0.218009217668525
"21","21",2015-02-23,"Anhui",0.586371594789039,-0.739689559809004,-0.617270378880731,-0.652680881309539,-0.910277069414872
"22","22",2015-03-02,"Anhui",0.396109344220664,-0.828312808808657,-0.910504782174152,-0.73785017259659,-0.955448945193128
"23","23",2015-03-09,"Anhui",0.453953619131613,-0.396781049222492,-0.560784707246788,-0.508076894615078,-0.0501350089915995
"24","24",2015-03-16,"Anhui",0.408643724883053,0.15964626209654,0.39219981274119,-0.741362814697073,-0.649555680801782
"25","25",2015-03-23,"Anhui",0.18980268085462,0.245020020726708,-0.100190355593863,-0.405457040791403,-0.995486997761712
"26","26",2015-03-30,"Anhui",-0.0161217098649393,0.584034133029803,0.859506867003887,-0.84371693823385,-0.808412860005671
"27","27",2015-04-06,"Anhui",-0.532203423008338,-0.110824339974359,-0.26000031971458,-0.332097867220853,-0.657993413611408
"28","28",2015-04-13,"Anhui",-0.442869766611204,0.575501412522356,0.352710738906811,-0.480018478426317,-0.65430039374876
"29","29",2015-04-20,"Anhui",-1.0478907872859,0.96156601091849,0.681702875018587,0.108968996402905,-0.50369327853079
"30","30",2015-04-27,"Anhui",-0.661203222495762,1.40341972515667,1.65324735012213,0.0946037641947105,-0.425836831383372
"31","31",2015-05-04,"Anhui",-0.891786178556935,1.26121970184529,1.62424538597108,-0.106208383181039,-0.250004812161343
"32","32",2015-05-11,"Anhui",-1.39140464652345,1.41770925167277,1.55937821776758,-0.368873282903758,-0.935020605883342
"33","33",2015-05-18,"Anhui",-2.3602646980007,1.58533006554234,1.53803684761612,0.255888490209253,-0.110156016423606
"34","34",2015-05-25,"Anhui",-0.96152260712832,1.64818862816868,2.29186398753778,0.0602179086084289,0.46811610076888
"35","35",2015-07-01,"Anhui",999,999,999,999,999
"36","36",2015-10-05,"Anhui",-1.13149445249001,0.973887824172466,0.979186291371901,-0.288447122709849,-0.89932949770935
"37","37",2015-10-12,"Anhui",-1.68312543465488,0.972266829739949,0.526866881502196,0.739329876806548,1.32666954845535
"38","38",2015-10-19,"Anhui",-2.40371761273442,1.11194794616989,1.15615304425799,0.201437654557876,0.426176173094629
"39","39",2015-10-26,"Anhui",-2.30286406749837,0.335486658330167,0.0479314457334889,-0.565332408212712,-0.456361116776703
"40","40",2015-11-02,"Anhui",-2.36020419997971,0.196757173702026,0.221355675430097,-0.65270370192458,-0.0847973200697277
"41","41",2015-11-09,"Anhui",-1.15052865842853,-0.00750612568136559,0.099540521731176,-0.581344877022717,0.0708534888547245
"42","42",2015-11-16,"Anhui",-1.57347052877162,0.0807208787202509,0.453130720015181,-1.02922634747042,-0.72814211583835
"43","43",2015-11-23,"Anhui",-1.75393545847562,-1.15663207264501,-0.858263594056435,-0.788081345307316,-1.0331039415954
"44","44",2015-11-30,"Anhui",-3.58201734499311,-0.768805901798571,-0.798854851119939,-0.752434627058273,0.44127635975597
"45","45",2015-12-07,"Anhui",-1.14994701053283,-0.660325176086926,-0.579465502648448,-0.742875845059373,1.73249605861446
"46","46",2015-12-14,"Anhui",-1.12690810691807,-1.2370539387813,-1.27049317559615,-0.98562411798259,0.410007197741656
"47","47",2015-12-21,"Anhui",-1.09483832380042,-0.833540796335629,-0.642125205373742,-0.950922743324535,2.31305935715676
"48","48",2015-12-28,"Anhui",-0.308525461071061,-0.88972220305466,-0.859966967715095,-1.06934773662858,1.39221534377502
"49","49",2016-01-04,"Anhui",0.353356755725398,-0.97579736406914,-0.716645720157716,-1.2594895692262,1.66896354379247
"50","50",2016-01-11,"Anhui",0.528974932288485,-1.3307945583296,-1.04461099453573,-1.00602095201878,1.06363220563124
"51","51",2016-01-18,"Anhui",0.662120073126636,-1.88409444095455,-1.47771519692664,-0.958429152746107,0.393405689218934
"52","52",2016-01-25,"Anhui",0.570933940178305,-1.49193865770359,-1.2644607529881,-1.02306464838253,-0.493526855137452
"53","53",2016-02-01,"Anhui",0.718539019530892,-1.51975286010606,-1.3776716123143,-0.633008372767905,0.901198109469377
"54","54",2016-02-08,"Anhui",0.658773740107018,-0.258662524915267,-0.561117867663699,-0.917161410678887,0.0426511709472341
"55","55",2016-02-15,"Anhui",0.55037544219605,-0.939969314100364,-1.27504625882643,-0.777344469635373,-0.710888873320823
"56","56",2016-02-22,"Anhui",0.582528613142385,-0.4913132725108,-0.70809848980186,-0.449476891505658,0.570708210281051
"57","57",2016-02-29,"Anhui",0.796655272470351,0.0604331203167362,-0.341206166094117,-0.275326542328809,1.67117418238345
"58","58",2016-03-07,"Anhui",0.860267569775897,-0.612676018094531,-0.745348854071804,-0.430106076125943,-0.138850160321699
"59","59",2016-03-14,"Anhui",1.08744575715658,0.142060034576305,-0.11977266879981,-0.0389084770668601,1.33748939517246
"60","60",2016-03-21,"Anhui",1.04082588335478,-0.123886125159374,-0.748109388533301,-0.172540078027692,-0.784429355276942
"61","61",2016-03-28,"Anhui",0.893777279480788,0.569208752668164,0.306107420847676,-0.174234780888346,-0.711472710779632
"62","62",2016-04-04,"Anhui",0.951613618168379,0.678814419971757,0.800034824156539,-0.153490142341049,-1.04023096881097
"63","63",2016-04-11,"Anhui",0.729051433062327,1.0257880515221,0.981401940101369,0.399264992413099,-0.0448552065810604
"64","64",2016-04-18,"Anhui",0.664639739023849,0.928336334037501,1.10486724156809,0.413447773522572,-0.699296999577486
"65","65",2016-04-25,"Anhui",0.535536956943159,1.01389610751373,1.05462065483972,0.474693888451767,-0.366649337114869
"66","66",2016-05-02,"Anhui",0.0752563700160068,1.30511339450985,1.3317925438044,0.321915682355706,-0.4793498551877
